,context,abbreviation,description,entity,human,location,numeric
1778,"In a review for Engadget Dana Wollman wrote, 'Lately, we feel like all of our reviews of Windows 8 convertibles end the same way. The ThinkPad Twist has plenty going for it: a bright IPS display, a good port selection, an affordable price and an unrivaled typing experience. Like ThinkPads past, it also offers some useful software features for businesses lacking dedicated IT departments. All good things, but what's a road warrior to do when the battery barely lasts four hours? Something tells us the Twist will still appeal to Lenovo loyalists, folks who trust ThinkPad's build quality and wouldn't be caught dead using any other keyboard. If you're more brand-agnostic, though, there are other Windows 8 convertibles with comfortable keyboards-not to mention, sharper screens, faster performance and longer battery life. ' [141]",not_abbreviation,not_description,not_entity,human,not_location,numeric
1783,"One digital media platform known to have copyright concerns is the short video-sharing app TikTok. TikTok is a social media app that allows users to share short videos up to one minute in length, using a variety of visual effects and audio. $^{[66]}$ According to Loyola University 's Chicago School of Law, around 50% of the music used on TikTok is unlicensed. [67] TikTok has several music licensing agreements with various artists and labels, creating a library of fair and legal use of music. $^{[68]}$ However, this does not cover all content for its users. A user could still commit a copyright violation on TikTok. One example is, accidentally having music playing on a stereo in the background or recording a laptop screen playing a song. [69]",not_abbreviation,description,not_entity,not_human,not_location,numeric
1788,"The IBM Building opened in 1962 at 1240 Ala Moana Boulevard [7] as the Honolulu headquarters for IBM. [9] The building was dedicated on October 10, 1962, in a ceremony attended by various corporate and military officials as well as members of the public. Then-Governor of Hawaii William F. Quinn attended and spoke at the event, characterizing the building as 'a gratifying demonstration of one company's success in years past and faith in the future of the mid-Pacific area '. [10] Also attending were Rev. Abraham Akaka and the president of IBM's Federal Systems Division. [11]",not_abbreviation,description,entity,not_human,location,numeric
1793,"In March 2013, NXP locked out workers at its plant in Bangkok, Thailand. The reason was stalled negotiations over a new work schedule with their trade union, which was affiliated with the Confederation of Thai Electrical Appliances, Electronic Automobile & Metalworkers (TEAM). Management then called in small groups of workers, asked them if they agreed with the union's demands, and told them to leave if they did. They were not able to enter the factory the next day. In response, TEAM staged protests outside the factory and on March 13 outside the Dutch embassy and also filed a complaint with the National Human Right Commission. On April 29, mediation by the",abbreviation,not_description,not_entity,not_human,location,numeric
1798,"Under the Trump administration, Cohn was cited by the press as a supporter of globalism, and was given nicknames such as 'Globalist Gary ' and ' Carbon Tax Cohn '. [32] Along with Jared Kushner, Ivanka Trump, and Dina Powell, they were referred to by opponents as the 'Wall Street-wing ' of the Trump administration. [32] He was stated as being at odds with the populist faction that was led by Steve Bannon, when Bannon was White House Chief Strategist. [32][33]",not_abbreviation,description,not_entity,human,location,numeric
1803,"CMOS circuits are constructed in such a way that all P-type metal-oxide-semiconductor (PMOS) transistors must have either an input from the voltage source or from another PMOS transistor. Similarly, all NMOS transistors must have either an input from ground or from another NMOS transistor. The composition of a PMOS transistor creates low resistance between its source and drain contacts when a low gate voltage is applied and high resistance when a high gate voltage is applied. On the other hand, the composition of an NMOS transistor creates high resistance between source and drain when a low gate voltage is applied and low resistance when a high gate voltage is applied. CMOS accomplishes current reduction by complementing every nMOSFET with a pMOSFET and connecting both gates and both drains together. A high voltage on the gates will cause the nMOSFET to conduct and the pMOSFET not to conduct, while a low voltage on the gates causes the reverse. This arrangement greatly reduces power consumption and heat generation. However, during the switching time, both pMOS and nMOS MOSFETs conduct briefly as the gate voltage transitions from one state to another. This induces a brief spike in power consumption and becomes a serious issue at high frequencies.",abbreviation,description,not_entity,not_human,not_location,not_numeric
1807,"Allaire, Thoman, Romeril, and three other senior Xerox executives paid the SEC the sum of $22 million to settle accusations by securities regulators that they participated in a large accounting fraud that allowed the company to overstate its profits by $1.4 billion from 1997 to 2000. As the 'Xerox six ' were not found guilty of wrongdoing, Xerox said that it would reimburse the executives for all but $3 million of the $22 million and cover their legal fees. The $3 million was classified as a fine by the S.E.C. and cannot be reimbursed under its rules. [13]",not_abbreviation,not_description,not_entity,human,not_location,numeric
1812,"In the early 1990s, a new definition of supercomputer was needed to produce meaningful statistics. After experimenting with metrics based on processor count in 1992, the idea arose at the University of Mannheim to use a detailed listing of installed systems as the basis. In early 1993, Jack Dongarra was persuaded to join the project with his LINPACK benchmarks. A first test version was produced in May 1993, partly based on data available on the Internet, including the following sources: [4][5]
'List of the World's Most Powerful Computing Sites ' maintained by Gunter Ahrendt [6]
David Kahaner, the director of the Asian Technology Information Program (ATIP); [7] published a report in 1992, titled 'Kahaner Report on Supercomputer in Japan ' $^{[5]}$ which had an immense amount of data.",not_abbreviation,not_description,not_entity,human,not_location,numeric
1817,"Some smaller competitors, such as VIA Technologies, produce low-power x86 processors for small factor computers and portable equipment. However, the advent of such mobile computing devices, in particular, smartphones, has in recent years led to a decline in PC sales. [27] Since over 95% of the world's smartphones currently use processors cores designed by Arm, using the Arm instruction set, Arm has become a major competitor for Intel's processor market. Arm is also planning to make attempts at setting foot into the PC and server market, with Ampere and IBM each individually designing CPUs for servers and supercomputers. [28] The only other major competitor in processor instruction sets is RISC-V, which is an open-source CPU instruction set. With the major phone and telecommunications manufacturer Huawei releasing chips based on the RISC instruction set due to US sanctions.",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1822,"Mary Ma, Lenovo's chief financial officer from 1990 to 2007, was in charge of investor relations. Under her leadership, Lenovo successfully integrated Western-style accountability into its corporate culture. Lenovo's emphasis on transparency earned it a reputation for the best corporate governance among mainland Chinese firms. While Hong Kong-listed firms were only required to issue financial reports twice per year, Lenovo followed the international norm of issuing quarterly reports. Lenovo created an audit committee and a compensation committee with non-management directors. The company started roadshows twice per year to meet institutional investors. Ma organized the first-ever investor relations conference held in mainland China. The conference was held in Beijing in 2002 and televised on China Central Television (CCTV). Liu and Ma co-hosted the conference and both gave speeches on corporate governance. [12]",abbreviation,description,not_entity,human,location,numeric
1825,"|--------------|---------------------------------------------------------------------------------------------------|
| Native name  | Razer / $_{雷}$$_{蛇}$                                                                              |
| Type         | Private                                                                                           |
| ISIN         | KYG7397A1067 (http                                                                                |
| Industry     | 7397A1067) Computer hardware Consumer electronics Digital distribution Media Financial technology |
| Founded      | January 2, 1998 Min-Liang Tan                                                                     |
| Founders     | Robert Krakoff                                                                                    |
| Headquarters | Singapore Irvine, California, United States [1]                                                   |
| Area served  | Worldwide                                                                                         |
| Key people   | Min-Liang Tan                                                                                     |",not_abbreviation,not_description,entity,human,location,not_numeric
1826,"|-----------------------------------|----------|----------|----------|---------|----------|----------|------------|-----------|-----------|----------|---------|---------|------------|
| Month                             | Jan      | Feb      | Mar      | Apr     | May      | Jun      | Jul        | Aug       | Sep       | Oct      | Nov     | Dec     | Year       |
| Average high °C (°F)              | 19 (66)  | 23 (73)  | 32 (90)  | 37 (99) | 39 (102) | 41 (106) | 38 (100)   | 36 (97)   | 35 (95)   | 36 (97)  | 28 (82) | 22 (72) | 32 (90)    |
| Average low °C (°F)               | 7 (45)   | 12 (54)  | 18 (64)  | 21 (70) | 26 (79)  | 28 (82)  | 25 (77)    | 26 (79)   | 24 (75)   | 20 (68)  | 14 (57) | 9 (48)  | 19 (67)    |
| Average precipitation mm (inches) | 69 (2.7) | 22 (0.9) | 17 (0.7) | 7 (0.3) | 8 (0.3)  | 69 (2.7) | 269 (10.6) | 173 (6.8) | 169 (6.7) | 31 (1.2) | 4 (0.2) | 5 (0.2) | 843 (33.3) |",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1831,"Notable product lines
Acer Extensa series-Business-oriented laptops
Acer Iconia-A series of tablet computers
Acer Aspire-Budget to entry level personal-use computer and laptops aimed for casual household use
Acer TravelMate-Lightweight business-oriented laptops
Acer Nitro-Acer's entry to mid-end gaming-oriented laptops
Acer Predator-Acer's mid to high-end gaming laptops and desktops
Acer Aspire One-Acer's mid to high-end personal-use laptop
Acer Swift-A series of mid to high-end ultra-portable notebooks
Acer Spin-A series of budget to mid-end two-in-one laptops
Acer ConceptD-Desktop and laptops designed for studios and rendering
Acer Veriton-A high-end business-oriented desktop
Acer Enduro-Acer's series of rugged laptops
Acer Enduro Urban-Lightweight semi-rugged laptops.
Acer Vero-Eco-friendly laptops.",not_abbreviation,description,entity,not_human,not_location,not_numeric
1834,"In 1911, four corporations, including Hollerith's firm, were amalgamated (via stock acquisition) to form a fifth company, the Computing-Tabulating-Recording Company (CTR). The Powers Accounting Machine Company was formed that same year and, like Hollerith, with machines first developed at the Census Bureau. In 1919 the first Bull tabulator prototype was developed. Tabulators that could print, and with removable control panels, appeared in the 1920s. In 1924 CTR was renamed International Business Machines (IBM). In 1927 Remington Rand acquired the Powers Accounting Machine Company. In 1933 The Tabulating Machine Company was subsumed into IBM. These companies continued to develop faster and more sophisticated tabulators, culminating in tabulators such as 1949 IBM 407 and 1952 Remington Rand 409. Tabulating machines continued to be used well after the introduction of commercial electronic computers in the 1950s.",abbreviation,description,not_entity,not_human,not_location,numeric
1839,"In the fall of 1967, Fairchild suffered a loss for the first time since 1958 and announced write-offs of $4 million due to excess capacity, which contributed to a total loss of $7.6 million. Profits had sunk to $0.50 a share, compared to $3 a share the previous year, while the value of the stock dropped in half. In October 1967, the board ordered Carter to sell off all of Fairchild's unprofitable ventures. Carter responded to the order by resigning abruptly.",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1844,"Overlayfs, Unionfs, and aufs are union filesystems, that allow multiple filesystems to be combined and presented to the user as a single tree. This allows the system designer to place parts of the operating system that are nominally read-only on different media to the normal read-write areas. OpenWrt is usually installed on raw flash chips without FTL. It uses overlayfs to combine a compressed read-only SquashFS with JFFS2.",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
1854,"Todd was born in 1946 in Earlington, Kentucky, a small town close to Madisonville. He earned a bachelor's degree in electrical engineering from the University of Kentucky in 1968. He went on to earn his master's and doctoral degrees in electrical engineering from the Massachusetts Institute of Technology in 1970 and 1973. Todd studied at MIT thanks in part to a fellowship from the Hertz Foundation, $^{[1]}$ following a personal encouragement from Edward Teller. He returned to UK in 1974 and served as an electrical engineering associate professor until 1983. Lee Todd has been known to attend most home basketball games, and would commonly sit by Kentucky Governor Steve Beshear and his family.",not_abbreviation,description,not_entity,human,location,numeric
1859,"Perot engaged in unauthorized back-channel discussions with Vietnamese officials in the late 1980s, which led to fractured relations between Perot and the Reagan and George H. W. Bush administrations. [24][25] In 1990, Perot reached an agreement with Vietnam's Foreign Ministry to become its business agent if diplomatic relations were normalized. $^{[26]}$ Perot also launched private investigations of, and attacks upon, United States Department of Defense official Richard Armitage. [24][25]",not_abbreviation,description,not_entity,human,not_location,numeric
1863,"The District Magistrate is assisted by one Chief Development Officer, three Additional District Magistrates/ ADM (Executive, Finance & Revenue and Law & Order), and one City Magistrate. The district has divided into three Subdivisions named Noida Sadar, Dadri, and Jewar each headed by a Sub-Divisional Magistrate (SDM) who reports to the District Magistrate. The current DM of Gautam Buddha Nagar (Noida) since 30 March 2020 is Suhas Lalinakere Yathiraj (IAS).",abbreviation,description,not_entity,human,location,numeric
1868,"In 2013, ASOS opened its first office outside the South East, in Birmingham. $^{[19]}$ Later in 2013, ASOS recalled belts contaminated with radioactive cobalt-60. $^{[20]}$ ASOS Russia and China were launched in the same year. [6] In 2014, a fire in the Barnsley warehouse prevented them from taking orders for almost three days. $^{[21][22]}$ During the 2014 Formula One season, ASOS was a sponsor of the McLaren Formula One team. [23][24] In 2015, ASOS had over 4,000 employees and was the UK's largest independent online and fashion beauty retailer. [25]",not_abbreviation,description,not_entity,not_human,location,numeric
1873,Calls for tighter regulation of nanotechnology have occurred alongside a growing debate related to the human health and safety risks of nanotechnology. [89] There is significant debate about who is responsible for the regulation of nanotechnology. Some regulatory agencies currently cover some nanotechnology products and processes (to varying degrees) by 'bolting on ' nanotechnology to existing regulations there are clear gaps in these regimes. [90] Davies (2008) has proposed a regulatory road map describing steps to deal with these shortcomings. [91],not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1882,"As of 2017 technologies found in AMD GPU products include:
AMD Eyefinity-facilitates multi-monitor setup of up to 6 monitors per graphics card
AMD FreeSync-display synchronization based on the VESA Adaptive Sync standard
AMD TrueAudio-acceleration of audio calculations
AMD XConnect-allows the use of External GPU enclosures through Thunderbolt 3
AMD CrossFire-multi-GPU technology allowing the simultaneous use of multiple GPUs
Unified Video Decoder (UVD)-acceleration of video decompression (decoding)
Video Coding Engine (VCE)-acceleration of video compression (encoding)",not_abbreviation,description,not_entity,not_human,not_location,numeric
1883,"
40. ADVANCED MICRO COMPUTERS, INC. (http://www.californiacompanieslist.com/advanced-micro-computers-inc-cje0/) Archived (https://web.archive.org/web/20141104095752/http://www.california companieslist.com/advanced-micro-computers-inc-cje0/) November 4, 2014, at the Wayback Machine. CaliforniaCompaniesList.com.
41. Freiberger, Paul. 'AMD sued for alleged misuse of subsidiary's secrets ' (https://books.google.co m/books?id=zC8EAAAAMBAJ&pg=PA28). InfoWorld. June 20, 1983. p. 28.
42. Mini-micro Systems, Volume 15 (https://books.google.com/books?id=4W1VAAAAMAAJ&q=%22ad vanced+micro+computers%22+z8000+OR+zilog). Cahners Publishing Company, 1982. p. 286.
43. Rodengen, p. 62.
44. 'Siemens and Advanced Micro Devices Agree to Split Joint Venture '. The Wall Street Journal. February 14, 1979. p. 38.
45. Swaine, Michael. 'Eight Companies to produce the 8086 chip ' (https://books.google.com/books?id =SD0EAAAAMBAJ&pg=PA78). InfoWorld. November 30, 1981. p. 78.
46. Rodengen, p. 73.
47. Rodengen, p. 59.
48. Hitt, Michael; Ireland, R. Duane; Hoskisson, Robert. Strategic Management: Concepts and Cases (https://books.google.com/books?id=gZ60WQm54CoC&pg=PT498). Cengage Learning, 2006. p. C-26.
49. Rodengen, pp. 65, 71-72, 79-80.
50. Sanchez, Julio, and Maria P. Canton. Software Solutions for Engineers and Scientists (https://book s.google.com/books?id=jtKc0k5BWA8C&pg=PA95). CRC Press, 2007. p. 95.
51. AMD 8086 microprocessor family (http://www.cpu-world.com/CPUs/8086/MANUF-AMD.html), CPU World. (Accessed November 3, 2014.)
52. 'Patent Cross License Agreement ' (https://www.sec.gov/Archives/edgar/data/2488/000119312509 236705/dex102.htm). U.S. Securities and Exchange Commission. November 11, 2009. Retrieved February 2, 2021.
53. Ziberg, Christian. 'Timeline: How AMD changed over the past 39 years ' (http://www.tgdaily.com/tr endwatch-features/39628-timeline-how-amd-changed-over-the-past-39-years) Archived (https://we b.archive.org/web/20141113081521/http://www.tgdaily.com/trendwatch-features/39628-timeline-ho w-amd-changed-over-the-past-39-years) November 13, 2014, at the Wayback Machine. TGDaily. October 7, 2008.
54. International Directory of Company Histories (http://www.encyclopedia.com/topic/Advanced_Micro _Devices_Inc.aspx). 1992.
55. Rodengen, pp. 73, 78-80.
56. Rodengen, p. 80.
57. Levering, Robert; Moskowitz, Milton; Katz, Michael. The 100 Best Companies to Work for in America. Addison-Wesley, 1984.
58. 1985 Full list (http://archive.fortune.com/magazines/fortune/fortune500_archive/full/1985/401.html) Archived (https://web.archive.org/web/20141113071022/http://archive.fortune.com/magazines/fort une/fortune500_archive/full/1985/401.html) November 13, 2014, at the Wayback Machine. Fortune 500. Fortune archive.
59. Rodengen, p. 85.
60. Rodengen, pp. 85-87.
61. Rodengen, pp. 86, 90, 95, 99.
62. Rodengen, pp. 90-91.
63. Rodengen, pp. 87-88, 97-99.
64. Rodengen, p. 97.",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
1886,"The public Binghamton City School District is the largest school district in the metropolitan area, with about 5,000 students enrolled as of 2021. $^{[126]}$ The district consists of Binghamton High School, two middle schools, and seven elementary schools. [127] While the district maintains an International Baccalaureate program and has received several academic awards, [128] it is classified as high needs, and has had difficulty meeting several
Joe Burns (D), 5th District
Philip Strawn (R), 6th District
Thomas Scanlon (R), 7th District",not_abbreviation,description,not_entity,human,location,numeric
1889,"Governor Bill Haslam announced the creation of WGU Tennessee in January 2013. The initiative was part of his 'Drive for 55 ' plan to bring the college graduation rate of the state up to 55%. The school was started with a grant from the Bill and Melinda Gates Foundation and $5 million in one-time state funds. Students are eligible for state financial aid. The school, based in Franklin, has a local chancellor, Kimberly K. Estep, Ph.D., and advisory board. [102][103]",not_abbreviation,description,not_entity,human,location,numeric
1900,"In response to the recession, U.S. president Barack Obama launched the SelectUSA program in 2011. In January 2012, Obama issued a Call to Action to Invest in America at the White House 'Insourcing American Jobs ' Forum. $^{[152]}$ Obama met with representatives of Otis Elevator, Apple, DuPont, Master Lock, and others which had recently brought jobs back or made significant investments in the U.S.",not_abbreviation,not_description,not_entity,human,location,numeric
1905,"Power ISA is a RISC load/store architecture. It has multiple sets of registers:
32 × 32-bit or 64-bit general-purpose registers (GPRs) for integer operations.
64 × 128-bit vector scalar registers (VSRs) for vector operations and floating-point operations.
32 × 64-bit floating-point registers (FPRs) as part of the VSRs for floating-point operations.
32 × 128-bit vector registers (VRs) as part of the VSRs for vector operations.
8 × 4-bit condition register fields (CRs) for comparison and control flow.
11 special registers of various sizes: Counter Register (CTR), link register (LR), time base (TBU, TBL), alternate time base (ATBU, ATBL), accumulator (ACC), status registers (XER, FPSCR, VSCR, SPEFSCR).",abbreviation,description,not_entity,not_human,not_location,numeric
1914,"Production function
Production theory basics
Production possibility frontier
Productive and unproductive labour
Productive forces
Productivism
Productivity
Productivity model
Productivity improving technologies (historical)
Microeconomics
Mode of production
Mass production
Second Industrial Revolution
2. {{Cite web|url=https://assets.cambridge.org/97811070/36161/frontmatter/9781107036161_frontmatter.pdf%7Ctitle=Sickles, R., & Zelenyuk, V. (2019). Measurement of Productivity and Efficiency: Theory and Practice. Cambridge: Cambridge University Press. {{doi:10.1017/9781139565981}}
3. 'Production and Welfare: Progress in Economic Measurement ' (https://www.aeaweb.org/articles?id=10.1257/jel.20 171358). American Economic Association.
4. Pearce, David W. (1992), 'O ', Macmillan Dictionary of Modern Economics, London: Macmillan Education UK, pp. 311-320, doi:10.1007/978-1-349-22136-3_15 (https://doi.org/10.1007%2F978-1-349-22136-3_15), ISBN 978-0-333-58280-0
5. Samuelson, Paul A. (2010). Economics. William D. Nordhaus (Nineteenth ed.). Boston. ISBN 978-0-07-351129-0. OCLC 244764097 (https://www.worldcat.org/oclc/244764097).
6. Parkin, Michael; Gerardo Esquivel (2001). Microeconomía: versión para Latinoamérica (5the ed.). México: Addison Wesley. ISBN 968-444-442-7. OCLC 47734101 (https://www.worldcat.org/oclc/47734101).
7. O'Sullivan, Arthur; Steven M. Sheffrin (2003). Economics : principles in action. Needham, Mass.: Prentice Hall. ISBN 0-13-063085-3. OCLC 50237774 (https://www.worldcat.org/oclc/50237774).
8. Brems, Hans (1968). Quantitative economic theory: a synthetic approach. Wiley. OCLC 797732311 (https://www.w orldcat.org/oclc/797732311).
9. Saari, Seppo (2011). 'PRODUCTION AND PRODUCTIVITY AS SOURCES OF WELL-BEING ' (http://www.mido.fi/ Index_tiedostot/Artikkeli%202011_tiedostot/PRODUCTION%20AND%20PRODUCTIVITY%20AS%20SOURCE S%20OF%20WELL%20BEING.pdf) (PDF). Doctor of Science in Technology at MIDO OY : 1.
10. Sickles, Robin C.; Zelenyuk, Valentin (2019). Measurement of Productivity and Efficiency: Theory and Practice (htt ps://www.cambridge.org/core/product/identifier/9781139565981/type/book). Cambridge University Press. doi:10.1017/9781139565981 (https://doi.org/10.1017%2F9781139565981). ISBN 978-1107036161. S2CID 155765388 (https://api.semanticscholar.org/CorpusID:155765388).
11. Wheeler, Susan (2012), 'Wild Goose Chase ', Meme, University of Iowa Press, p. 7, ISBN 978-1-60938-142-4, JSTOR j.ctt20q1vw8 (https://www.jstor.org/stable/j.ctt20q1vw8)
12. Smith, Tim J. (2012). Pricing strategy : setting price levels, managing price discounts, & establishing price structures. Mason, Oh. ISBN 978-0-538-48088-8. OCLC 651908448 (https://www.worldcat.org/oclc/651908448).
13. Sally Dibb (2012). Marketing: concepts and strategies (6th ed.). Andover: Cengage Learning. ISBN 978-1-4080-3214-5. OCLC 827191762 (https://www.worldcat.org/oclc/827191762).
14. Genesca & Grifell 1992, Saari 2006
15. Pindyck, Robert S.; Rubinfeld, Daniel L. (1998-12-31). Mikroökonomie (https://dx.doi.org/10.1515/978348678420 6). doi:10.1515/9783486784206 (https://doi.org/10.1515%2F9783486784206). ISBN 978-3486784206.
16. Førsund, Finn R.; Hjalmarsson, Lennart; Zheng, Jinghai (May 2011). 'A short-run production function for electricity generation in China ' (http://www.tandfonline.com/doi/abs/10.1080/14765284.2011.568689). Journal of Chinese Economic and Business Studies. 9 (2): 205-216. doi:10.1080/14765284.2011.568689 (https://doi.org/10.1080%2F 14765284.2011.568689). ISSN 1476-5284 (https://www.worldcat.org/issn/1476-5284). S2CID 154260586 (https://a pi.semanticscholar.org/CorpusID:154260586).
17. Courbois & Temple 1975, Gollop 1979, Kurosawa 1975, Saari 1976, 2006",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1918,"Customer base
On March 14, 2006, Amazon said in a press release: $^{[5]}$ 'More than 150,000 developers have signed up to use Amazon Web Services since its inception. '
In November 2012, AWS hosted its first customer event in Las Vegas. [88]
On May 13, 2013, AWS was awarded an Agency Authority to Operate (ATO) from the U.S. Department of Health and Human Services under the Federal Risk and Authorization Management Program. [89]
In October 2013, it was revealed that AWS was awarded a $600M contract with the CIA. [90]
In August 2014, AWS received Department of Defense-Wide provisional authorization for all U.S. Regions. [91]
During the 2015 re:Invent keynote, AWS disclosed that they have more than a million active customers every month in 190 countries, including nearly 2,000 government agencies, 5,000 education institutions and more than 17,500 nonprofits.
On April 5, 2017, AWS and DXC Technology (formed from a merger of CSC and HPE's Enterprise Services Business) announced an expanded alliance to increase access of AWS features for enterprise clients in existing data centers. [92]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1923,An efficient way to improve the understanding of production performance is to formulate different objective functions according to the objectives of the different interest groups. Formulating the objective function necessitates defining the variable to be maximized (or minimized). After that other variables are considered as constraints or free variables. The most familiar objective function is profit maximization which is also included in this case. Profit maximization is an objective function that stems from the owner's interest and all other variables are constraints in relation to maximizing of profits in the organization.,not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
1928,"In December 2012, the company announced the shipment of its first 28 nm Cyclone V SoC devices, which had a dual-core ARM architecture Cortex-A9 processor system with FPGA logic on a single chip. [20] These SoCs were targeted for wireless communications, industrial, video surveillance, automotive and medical equipment markets. With these SoCs devices, users were able to create custom field-programmable SoC variants for power, board space, performance and cost optimization. [21]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
1933,"On January 20, 2001, Colin Powell assumed the post of secretary of state under President George W. Bush, which made him the highest-ranked African-American among cabinet secretaries to enter the presidential line of succession at number four. $^{[6]}$ Condoleezza Rice took over the same position in 2005, during Bush's second term, making her the highest-placed Black woman in line to the presidency. Kamala Harris replaced both Powell and Rice to become the highest-ranking Black person ever to be in the line of succession upon being inaugurated as the first African-American vice president on January 20, 2021, alongside President Joe Biden. [7][6]",not_abbreviation,not_description,not_entity,human,not_location,numeric
1934,"During the 1990s, the company responded to the growing consumer interest in healthy beverages by introducing several new non-carbonated beverage brands. These included Minute Maid Juices to Go, Powerade sports beverage, flavored tea Nestea (in a joint venture with Nestlé), Fruitopia fruit drink, and Dasani water, among others. In 2001, the Minute Maid division launched the Simply Orange brand of juices including orange juice. In 2016, Coca-Cola India introduced Vio to enter into the value-added dairy category. The product lays the foundation for Coca-Cola's new segment after carbonated beverages, water and juices. [110]",not_abbreviation,description,not_entity,not_human,not_location,numeric
1939,"Edisonian approach
Heroic theory of invention and scientific development
Independent inventor
INPEX (invention show)
International Innovation Index
Inventing the Future: Postcapitalism and a World Without Work
Invention promotion firm
Inventors' Day
Kranzberg's laws of technology
Lemelson-MIT Prize
Category:Lists of inventions or discoveries
List of inventions named after people
List of inventors
List of prolific inventors
Multiple discovery
National Inventors Hall of Fame
Necessity (Invention's mother)
Patent model
Proof of concept
Proposed directive on the patentability of computer-implemented inventions-it was rejected
Scientific priority
Technological revolution
The Illustrated Science and Invention Encyclopedia
Timeline of historic inventions
Science and invention in Birmingham-The first cotton spinning mill to plastics and steam power.",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
1948,"Toronto is home to twenty public hospitals, including The Hospital for Sick Children, Mount Sinai Hospital, St. Michael's Hospital, North York General Hospital, Toronto General Hospital, Toronto Western Hospital, Etobicoke General Hospital, St. Joseph's Health Centre, Scarborough General Hospital, Birchmount Hospital, Centenary Hospital, Sunnybrook Health Sciences Centre, Centre for Addiction and Mental Health (CAMH), and Princess Margaret Cancer Centre, many of which are affiliated with the University of Toronto Faculty of Medicine.",abbreviation,description,entity,not_human,location,not_numeric
1953,"Foundation for the National Institutes of Health (FNIH)-Donor. [195]
Global Health Progress-Partner. $^{[196]}$ GHP is a multinational resource hub hosted by the International Federation of Pharmaceutical Manufacturers & Associations (IFPMA).
Health Products Stewardship Association-Member. [197]
Innovative Medicines Canada-Member company. [198]
International Federation of Pharmaceutical Manufacturers & Associations (IFPMA)-Member. [199]
Life Sciences British Columbia-Sponsor. [200]
Mayor's Fund for Los Angeles-Disaster relief grant provider. [201]
National Health Council-Member. [202]
Personalized Medicine Coalition-Member. [203]
Pharmaceutical Advertising Advisory Board (PAAB)-Client. $^{[204]}$ PAAB 'maintains a collaborative relationship' with Health Canada.
Pharmaceutical Research and Manufacturers of America (PhRMA)-Member. [205]
Reagan-Udall Foundation for the Food and Drug Administration-Donor. [206]
Research!America-Member. [207]",abbreviation,not_description,entity,not_human,not_location,not_numeric
1957,"GE was one of the eight major computer companies of the 1960s along with IBM, Burroughs, NCR, Control Data Corporation, Honeywell, RCA, and UNIVAC. $^{[50]}$ GE had a line of general purpose and special purpose computers, including the GE 200, GE 400, and GE 600 series general purpose computers, [50] the GE 4010, GE 4020, and GE 4060 real-time process control computers, and the DATANET-30 and Datanet 355 message switching computers (DATANET-30 and 355 were also used as front end processors for GE mainframe computers). A Datanet 500 computer was designed, but never sold. [51]",not_abbreviation,not_description,entity,not_human,not_location,numeric
1962,"The UPC-A check digit may be calculated as follows:
1. Sum the digits at odd-numbered positions (first, third, fifth,..., eleventh).
2. Multiply the result by 3.
3. Add the digit sum at even-numbered positions (second, fourth, sixth,..., tenth) to the result.
4. Find the result modulo 10 (i.e. the remainder, when divided by 10) and call it M.
5. If M is zero, then the check digit is 0; otherwise the check digit is 10-M.",not_abbreviation,description,not_entity,not_human,not_location,numeric
1966,"On September 17, 2001, the first day of trading after the September 11 attacks, the Dow fell 7.1%. However, the Dow began an upward trend shortly after the attacks, and quickly regained all lost ground to close above 10,000 for the year. In 2002, the Dow dropped to a four-year low of 7286 on September 24, 2002, due to the stock market downturn of 2002 and lingering effects of the dot-com bubble. Overall, while the NASDAQ fell roughly 75% and the S&P 500 fell roughly 50% between 2000 and 2002, the Dow only fell 27% during the same period. In 2003, the Dow held steady within the 7,000 to 9,000-point level and recovered to the 10,000 mark by year end. [54]",not_abbreviation,description,entity,not_human,not_location,numeric
1971,"C Michael Armstrong (born October 18, 1938, in Detroit, Michigan) is an American business executive and former AT&T chairman and CEO. He was hired after Kenneth Lay turned down the job to continue managing Enron. $^{[1]}$ He tried to reestablish AT&T as an end-to-end carrier but, due to the dot-com bust and various other issues, he was forced to break the group up in 2001. He resigned in 2002 and was succeeded by AT&T President David Dorman.",not_abbreviation,description,entity,human,location,numeric
1976,"DOI name resolution is provided through the Handle System, developed by Corporation for National Research Initiatives, and is freely available to any user encountering a DOI name. Resolution redirects the user from a DOI name to one or more pieces of typed data: URLs representing instances of the object, services such as e-mail, or one or more items of metadata. To the Handle System, a DOI name is a handle, and so has a set of values assigned to it and may be thought of as a record that consists of a group of fields. Each handle value must have a data type specified in its <type> field, which defines the syntax and semantics of its data. While a DOI persistently and uniquely identifies the object to which it is assigned, DOI resolution may not be persistent, due to technical and administrative issues.",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
